,Altitude,Latitude,Longitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
308,260.0,-80.00000092788684,-30.0,2008.0,0.004204272089340957,-66.87049980128808,16533.236157609557,42089.5813582161,16533.236113098876,1.2131822597102637,-38706.39431756211,3.9884931188506894,-8.888580403441315,-1.4208736262941464,-63.748050062079415,-8.820134541016717,-19.244292619907107,65.4995621329654,4.20895813582161e-05
309,280.0,-80.00000092510777,-30.0,2008.0,-0.0994979153572461,-66.9405797094446,16341.77863909972,41721.67808110726,16341.753998463502,-28.37856652631824,-38388.08008762889,3.986436139226542,-8.856533960483834,-1.402769110102128,-62.987571446330456,-8.823344057101854,-18.99619184877025,64.66420590233226,4.1721678081107264e-05
310,300.0,-80.00000092234524,-30.0,2008.0,-0.20240107072757074,-67.010088934726,16153.274132895815,41358.30717847629,16153.173344516304,-57.062373671219035,-38073.36742995978,3.984309223164063,-8.824555342598732,-1.3848337453506943,-62.23885370785633,-8.825491339300877,-18.751588772159767,63.84264579805311,4.135830717847629e-05
311,320.0,-80.00000091959919,-30.0,2008.0,-0.30451544469604014,-67.07903195461981,15967.666489555946,40999.3933950857,15967.440970201715,-84.86450855106924,-37762.201811378916,3.9821141185622295,-8.792643317489519,-1.36706552709609,-61.50167046150302,-8.826606654594334,-18.51043295137996,63.03459933637521,4.0999393395085704e-05
312,340.0,-80.00000091686948,-30.0,2008.0,-0.40585106668193627,-67.14741326332572,15784.900807043434,40644.86309327349,15784.504804327746,-111.81042149442443,-37454.529797912895,3.9798525319151743,-8.760796768536661,-1.349462475841736,-60.77580065127423,-8.82671950676405,-18.27267452074807,62.23979101878525,4.064486309327349e-05
313,360.0,-80.00000091415592,-30.0,2008.0,-0.5064177515761489,-67.21523736867755,15604.923399674926,40294.644210061764,15604.313860820119,-137.92477202869088,-37150.29902579173,3.9775261293206046,-8.729014689045234,-1.3320226372876949,-60.06102839826295,-8.825858655713107,-18.03826419268742,61.45795212747531,4.0294644210061764e-05
314,380.0,-80.00000091145833,-30.0,2008.0,-0.6062251062234131,-67.28250878921996,15427.68176790246,39948.66621560095,15426.818214506407,-163.2314560474383,-36849.4581734091,3.975136537463538,-8.697296176720846,-1.314744082077613,-59.357142853787806,-8.824052136300148,-17.807153261922803,60.68882052777416,3.9948666215600954e-05
315,400.0,-80.00000090877666,-30.0,2008.0,-0.7052825356697722,-67.34923205143288,15253.124568906245,39606.86007290202,15251.968977422657,-187.753631943974,-36551.95693420352,3.9726853445757495,-8.665640428365641,-1.297624905543563,-58.66393805752625,-8.821327276698353,-17.579293608836302,59.932140477274636,3.960686007290202e-05
316,420.0,-80.0000009061107,-30.0,2008.0,-0.8035992491851065,-67.41541168709749,15081.201587975396,39269.158198811274,15079.718275634612,-211.51374575456646,-36257.745990424104,3.9701741013717418,-8.634046734786356,-1.2806632274489687,-57.98121280044199,-8.817710716289476,-17.35463770203954,59.18766244139543,3.9269158198811276e-05
317,440.0,-80.00000090346035,-30.0,2008.0,-0.9011842660694784,-67.48105223079797,14911.863710655258,38935.49442618593,14910.019226566104,-234.53355535255213,-35966.77698774799,3.967604321961659,-8.60251447590592,-1.2638571917300545,-57.30877049231727,-8.81322842310236,-17.13313860021462,58.45514291513131,3.893549442618593e-05
318,460.0,-80.00000090082543,-30.0,2008.0,-0.9980464212521428,-67.54615821755327,14745.06289563963,38605.80396722804,14742.825916826288,-256.83415373280775,-35679.00251071591,3.9649774847417993,-8.57104311607141,-1.2472049662359885,-56.646419033706614,-8.80790571080646,-16.914749953273017,57.73434425075294,3.8605803967228044e-05
319,480.0,-80.00000089820585,-30.0,2008.0,-1.0941943706914847,-67.6107341805732,14580.752148387013,38280.02337793611,14578.09338052724,-278.43599142422136,-35394.37605895381,3.962295033263174,-8.53963219955142,-1.2307047424680282,-55.99397069213885,-8.801767255270727,-16.699426002879104,57.02503449123038,3.828002337793611e-05
320,100.0,-80.00000095073537,-20.0,2008.0,-6.730672221510732,-66.21356802399397,18127.479497450822,44944.68965831201,18002.54581038342,-2124.5840241200935,-41126.87218293507,4.296058909792844,-7.728493876757959,-1.6187409365984002,-67.64110457990283,-10.252411561179779,-21.65874932666609,70.4806572078819,4.4944689658312014e-05
321,120.0,-80.00000094781802,-20.0,2008.0,-6.840395979208928,-66.29255847133511,17909.938013029896,44544.69387258049,17782.451160015415,-2133.1456519046314,-40785.584126886504,4.292804249204187,-7.724533272897301,-1.5978053525123468,-66.81431877103782,-10.25666953911407,-21.352586839993698,69.54846136749745,4.454469387258049e-05
322,140.0,-80.00000094491841,-20.0,2008.0,-6.949166874147,-66.370876439005,17695.85524932972,44149.70849462467,17565.85944634572,-2140.9985792748926,-40448.15777208035,4.289482632407787,-7.720002795131302,-1.5770856402813072,-66.00069206052875,-10.259389977438959,-21.051075744515757,68.63235756449663,4.414970849462467e-05
323,160.0,-80.00000094203654,-20.0,2008.0,-7.056998637937369,-66.44852765752732,17485.16377426985,43759.64915048684,17352.70357333231,-2148.1691993646123,-40114.53529034912,4.286095523848453,-7.714916382343447,-1.5565788782257803,-65.19996214964824,-10.260623283350482,-20.754141974990816,67.7319989370199,4.375964915048684e-05
324,180.0,-80.00000093917214,-20.0,2008.0,-7.163904686218743,-66.52551786350598,17277.797682914275,43374.43329633311,17142.91790090998,-2154.6829498508723,-39784.65999611324,4.282644361678806,-7.709287713657458,-1.5362821905110338,-64.41187318609035,-10.260418362624923,-20.461712563319015,66.84704769833925,4.3374433296333114e-05
325,200.0,-80.00000093632514,-20.0,2008.0,-7.269898128472344,-66.60185279632127,17073.692559010316,42993.9801698869,16936.438211442663,-2160.5643497912897,-39458.476316870416,4.279130558084304,-7.7031302114469336,-1.5161927464188607,-63.63617557028212,-10.258822665701686,-20.173715630333298,65.97717485537935,4.29939801698869e-05
326,220.0,-80.00000093349536,-20.0,2008.0,-7.374991777476445,-66.67753819500041,16872.78543756,42618.21074335636,16733.201676908797,-2165.837034920549,-39135.92976464464,4.275555499613652,-7.6964570444625755,-1.4963077596271577,-62.87262576871993,-10.255882232308474,-19.89008037712151,65.12205993735533,4.2618210743356364e-05
327,240.0,-80.00000093068266,-20.0,2008.0,-7.479198158414059,-66.75257979525642,16675.014768395617,42247.04767780658,16533.146826809716,-2170.5237914760987,-38816.966908359165,4.271920547514334,-7.689281131058304,-1.4766244874973045,-62.120986134029245,-10.251641734672079,-19.61073707592029,64.28139073411498,4.224704767780658e-05
328,260.0,-80.00000092788684,-20.0,2008.0,-7.582529517648069,-66.82698332668674,16480.32038073264,41880.41527892614,16336.213516791368,-2174.6465886195424,-38501.53534709647,4.2682270380720695,-7.681615142501281,-1.4571402303697605,-61.38102473146142,-10.246144519358323,-19.335617060616404,63.45486304379123,4.188041527892615e-05
329,280.0,-80.00000092510777,-20.0,2008.0,-7.684997831177703,-66.90075451012602,16288.643448672834,41518.23945414161,16142.342897968208,-2178.2266095169684,-38189.58368421222,4.264476282953882,-7.6734715063509515,-1.4378523308679643,-60.652515171556566,-10.239432647783119,-19.064652716891832,62.642180429390855,4.151823945414161e-05
330,300.0,-80.00000092234524,-20.0,2008.0,-7.786614812788892,-66.97389905514487,16099.92645763248,41160.44767103367,15951.477386939216,-2181.28428113834,-37881.06150226953,4.260669569553783,-7.664862409895242,-1.4187581732106955,-59.935236448711805,-10.231546935436535,-18.797777472044356,61.84305398395832,4.116044767103367e-05
331,320.0,-80.00000091959919,-20.0,2008.0,-7.887391921911758,-67.04642265768999,15914.113171669484,40806.96891701176,15763.560636483897,-2183.8393028333207,-37575.919338763495,4.256808161340853,-7.65579980363033,-1.3998551825331025,-59.22897278540952,-10.222526989858476,-18.534925784516684,61.057202103973445,4.080696891701176e-05
332,340.0,-80.00000091686948,-20.0,2008.0,-7.987340371196198,-67.11833099785797,15731.148601685465,40457.733660204125,15578.537506927583,-2185.9106737378543,-37274.10866260524,4.252893298208742,-7.646295404776321,-1.3811408242164163,-58.533513481870905,-10.212411247407706,-18.276033133161675,60.28435027065439,4.0457733660204124e-05
333,360.0,-80.00000091415592,-20.0,2008.0,-8.08647113381761,-67.18962973779765,15550.978974478641,40112.67381152273,15396.354038164174,-2187.5167190635293,-36975.5818513373,4.248926196826375,-7.63636070081716,-1.3626126032264811,-57.84865277091162,-10.201237008860288,-18.021036006273263,59.52423083885339,4.011267381152273e-05
334,380.0,-80.00000091145833,-20.0,2008.0,-8.184794950523537,-67.26032451973536,15373.551702623794,39771.72268786376,15216.95742232428,-2188.6751153190735,-36680.29216905299,4.244908050989364,-7.626006953056691,-1.3442680634612816,-57.174189677785755,-10.18904047387523,-17.769871890408936,58.77658283324549,3.9771722687863765e-05
335,400.0,-80.00000090877666,-20.0,2008.0,-8.282322336430992,-67.33042096411742,15198.815355157281,39434.814976406204,15040.295977077572,-2189.4029145109253,-36388.19374499408,4.240840031971424,-7.615245200184087,-1.3261047871072689,-56.50992788481734,-10.175856774363957,-17.52247925902786,58.04115175152458,3.943481497640621e-05
336,420.0,-80.0000009061107,-20.0,2008.0,-8.379063587585357,-67.39992466786464,15026.719629044019,39101.886699970484,14866.319119556518,-2189.7165673678296,-36099.24155280041,4.236723288875654,-7.604086261841419,-1.308120394004847,-55.85567560062396,-10.16172000679875,-17.27879756096881,57.31768937433229,3.9101886699970485e-05
337,440.0,-80.00000090346035,-20.0,2008.0,-8.475028787289414,-67.46884120273391,14857.215321405687,38772.87518340353,14694.977340890313,-2189.6319456320007,-35813.39139038883,4.232558948985127,-7.592540742186888,-1.2903125410227831,-55.21124543375056,-10.146663263493704,-17.038767208789572,56.605953581659385,3.877287518340353e-05
338,460.0,-80.00000090082543,-20.0,2008.0,-8.57022781221209,-67.53717611378214,14690.254302488702,38447.71902095559,14526.222181336589,-2189.16436345759,-35530.59986043808,4.228348118112548,-7.580619033448471,-1.2726789214417156,-54.57645427053575,-10.130718662891907,-16.802329566988643,55.90570817546772,3.8447719020955595e-05
339,480.0,-80.00000089820585,-20.0,2008.0,-8.664670338285568,-67.60493491792799,14525.789489351382,38126.35804461567,14360.00620599875,-2188.328597955184,-35250.82435145707,4.2240918809485155,-7.568331319463174,-1.2552172643466728,-53.951123157044655,-10.11391737889081,-16.569426940128256,55.21672270829432,3.812635804461567e-05
340,100.0,-80.00000095073537,-10.0,2008.0,-14.462218893308146,-66.26477788785785,18067.040032379035,44885.87425409956,17494.541272939412,-4512.090555497101,-41089.21722329657,4.6955802421794,-5.947666116128094,-1.6620918294725042,-64.59070001255995,-11.83613305326161,-22.482356244849505,67.90886494635384,4.488587425409956e-05
341,120.0,-80.00000094781802,-10.0,2008.0,-14.569833124557418,-66.34774161941499,17848.862942009542,44490.39207703747,17274.874811530808,-4490.056633114995,-40753.07447108594,4.689567756264434,-5.977660457750902,-1.6399757544628977,-63.80855335194319,-11.826026127832401,-22.133717631709047,67.00854453003275,4.449039207703747e-05
342,140.0,-80.00000094491841,-10.0,2008.0,-14.676456630546394,-66.42996436170947,17634.163874391234,44099.77062088041,17058.79536357873,-4467.799938720362,-40420.61396447835,4.68351972942622,-6.006339065285601,-1.6181012898141547,-63.03875689704167,-11.81432309574789,-21.790875510540886,66.12390007345866,4.4099770620880414e-05
343,160.0,-80.00000094203654,-10.0,2008.0,-14.782104009184067,-66.511453522399,17422.875004937367,43713.93046407852,16846.23234768939,-4445.337909016017,-40091.78398600667,4.677436740520342,-6.033733876806939,-1.5964648969452133,-62.281066460426,-11.80108378664492,-21.453723764655855,65.25458962227705,4.371393046407852e-05
344,180.0,-80.00000093917214,-10.0,2008.0,-14.886789526522298,-66.5922164656637,17214.93004282136,43332.793837614096,16637.116765223876,-4422.687205708773,-39766.53373622012,4.671319370986985,-6.059876123172172,-1.5750630993819483,-61.53524380533166,-11.786366091050358,-21.12215839290972,64.4002802789491,4.33327938376141e-05
345,200.0,-80.00000093632514,-10.0,2008.0,-14.990527126848985,-66.67226051053663,17010.264192480663,42956.284583419976,16431.381161997426,-4399.863748702449,-39444.81331320729,4.665168204173474,-6.0847963409179355,-1.5538924815834585,-60.80105646820385,-11.7702260236578,-20.796077464229967,63.560647919266046,4.295628458341998e-05
346,220.0,-80.00000093349536,-10.0,2008.0,-15.093330442413981,-66.75159292935115,16808.814116146663,42584.32811399146,16228.959590901513,-4376.882747807755,-39126.57369268247,4.658983824699212,-6.108524385204336,-1.5329496877875475,-60.07827758765139,-11.752717784516143,-20.47538107322498,62.735376919081,4.2584328113991466e-05
347,240.0,-80.00000093068266,-10.0,2008.0,-15.195212802804578,-66.83022094630074,16610.517897373033,42216.85137315666,16029.787575430579,-4353.758733039907,-38811.766708618794,4.6527668178612975,-6.131089442772347,-1.5122314208753733,-59.36668573953657,-11.733893818194549,-20.159971296844084,61.924159890845935,4.221685137315666e-05
348,260.0,-80.00000092788684,-10.0,2008.0,-15.29618724398389,-66.90815173610515,16415.31500553595,41853.782797967935,15833.802074095724,-4330.505583570548,-38500.3450344085,4.646517769078491,-6.152520044885921,-1.4917344412553155,-58.66606477793773,-11.713804870987726,-19.849752152057054,61.126697429557076,4.185378279796794e-05
349,280.0,-80.00000092510777,-10.0,2008.0,-15.396266517006323,-66.98539242277883,16223.146261280386,41495.05228168157,15640.941445707593,-4307.136555397594,-38192.262164535256,4.640237263371376,-6.1728440802331335,-1.4714555657660584,-57.976203681736514,-11.692500046223554,-19.54462955452267,60.34269786773122,4.1495052281681576e-05
350,300.0,-80.00000092234524,-10.0,2008.0,-15.495463096422773,-67.06195007849584,16033.953802886754,41140.5911377899,15451.145415510324,-4283.664307793142,-37887.47239673941,4.63392588487702,-6.192088807763527,-1.4513916665987576,-57.296896406593554,-11.670026857734115,-19.2445112782185,59.5718770390518,4.1140591137789905e-05
351,320.0,-80.00000091959919,-10.0,2008.0,-15.593789188388998,-67.1378317225481,15847.681053533228,40790.3320650761,15264.355042148643,-4260.100928586943,-37585.93081466334,4.627584216396267,-6.210280869440017,-1.4315396702383385,-56.62794174208655,-11.64643128154825,-18.949306916005007,58.81395805033897,4.079033206507611e-05
352,340.0,-80.00000091686948,-10.0,2008.0,-15.691256738487708,-67.21304432039119,15664.272689429521,40444.20911365726,15080.512685450376,-4236.45795833947,-37287.5932709585,4.621212838971612,-6.227446302889504,-1.4118965564236754,-55.969143173798216,-11.62175780586468,-18.658927841096453,58.068671061513854,4.0444209113657266e-05
353,360.0,-80.00000091415592,-10.0,2008.0,-15.787877439277135,-67.28759478277416,15483.674608798714,40102.15765198746,14899.561975006704,-4212.746413456707,-36992.41637084145,4.614812331494447,-6.243610553934627,-1.3924593571266703,-55.32030875014952,-11.596049479360719,-18.373287169415384,57.33575307324144,4.010215765198746e-05
354,380.0,-80.00000091145833,-10.0,2008.0,-15.88366273757608,-67.36148996494958,15305.83390168374,39764.11433479027,14721.447779532231,-4188.976808295417,-36700.35745608401,4.6083832703398695,-6.258798488993132,-1.3732251555499346,-54.68125095378379,-11.569347957891218,-18.092299722806008,56.61494772194912,3.976411433479027e-05
355,400.0,-80.00000090877666,-10.0,2008.0,-15.97862384149637,-67.43473666595946,15130.69882055651,39430.01707189244,14546.116176987765,-4165.15917630587,-36411.37458942383,4.601926229027542,-6.273034407333057,-1.3541910851431447,-54.051786577318786,-11.541693549630983,-17.815881993083547,55.90600508193429,3.943001707189244e-05
356,420.0,-80.0000009061107,-10.0,2008.0,-16.07277172723237,-67.50734162799343,14958.218751707516,39099.80499793064,14373.514425448235,-4141.30309025624,-36125.42653938175,4.595441777907231,-6.286342053173591,-1.3353543286375602,-53.43173660328799,-11.51312525871238,-17.543952106896967,55.208681474281114,3.909980499793064e-05
357,440.0,-80.00000090346035,-10.0,2008.0,-16.166117145617218,-67.57931153581568,14788.344187394785,38773.41844290452,14203.590934698776,-4117.417681581003,-35842.472765473576,4.588930483867725,-6.298744627621693,-1.3167121170988632,-52.82092608810598,-11.483680827407671,-17.276429791384963,54.52273928232566,3.877341844290452e-05
358,460.0,-80.00000090082543,-10.0,2008.0,-16.258670628455036,-67.6506530162577,14621.026698731343,38450.79890355109,14036.295238542036,-4093.5116588934893,-35562.47340380462,4.5823929100677905,-6.310264800437383,-1.2982617289978597,-52.21918404989644,-11.453396776904663,-17.013236340603758,53.84794677341404,3.8450798903551094e-05
359,480.0,-80.00000089820585,-10.0,2008.0,-16.350442494637434,-67.72137263777245,14456.218909291047,38131.889015513414,13871.57796780007,-4069.5933257007023,-35285.389253033456,4.5758296156880025,-6.3209247216209175,-1.2800004892989838,-51.626343360030305,-11.42230844672287,-16.754294582707693,53.18407792671179,3.813188901551342e-05
360,100.0,-70.00000178729488,-180.0,2008.0,84.79027911497927,-81.50971800559152,8954.154425545174,60647.88471252348,813.0510298929555,8917.164880123066,-59983.23964764682,-2.4532545371217593,30.53646939416514,-2.1838645126545204,-52.68269057728936,-3.4599519732116057,30.991998897771573,57.75011763518068,6.064788471252349e-05
