,Altitude,Latitude,Longitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
0,100.0,-80.00000095073537,-180.0,2008.0,130.6500159330352,-78.98716595344148,11153.322640944036,58385.53383391021,-7265.684471298644,8462.058561397727,-57310.33026547377,7.565173422945722,23.511294215440483,-2.0366397347421636,-55.740407585510674,2.966178727630508,33.745821733669345,61.29853422537931,5.8385533833910214e-05
1,120.0,-80.00000094781802,-180.0,2008.0,130.49981796439513,-79.01062322200383,11018.823172746464,57803.05960336482,-7156.126584008002,8378.80161036818,-56743.098570644615,7.520719828128187,23.088674593303843,-2.0236929826742567,-55.172747755767105,3.0037310976963627,33.13373986060279,60.625124083389885,5.780305960336482e-05
2,140.0,-80.00000094491841,-180.0,2008.0,130.35021356157523,-79.03400192488573,10886.398388715677,57228.63530343559,-7048.484938085434,8296.537226784081,-56183.65446298241,7.476869470365571,22.674103212889158,-2.0108142355909804,-54.61258937580978,3.0398739637734646,32.53422919303392,59.96139024173411,5.722863530343559e-05
3,160.0,-80.00000094203654,-180.0,2008.0,130.20119239768184,-79.05730125180584,10756.009869903546,56662.117176301625,-6942.72023108193,8215.253137572096,-55631.85934857358,7.433613123636242,22.267413923362685,-1.9980036448116631,-54.05980860686873,3.0746446200750124,31.94699152691618,59.30716097883923,5.666211717630163e-05
4,180.0,-80.00000093917214,-180.0,2008.0,130.05274447058355,-79.08052041488922,10627.62003408957,56103.3646196885,-6838.79411082249,8134.937166245455,-55087.57767465124,7.390941749346749,21.868444115783166,-1.9852613342329803,-53.51428414410947,3.1080793969266645,31.37173670781939,58.66226819008981,5.610336461968851e-05
5,200.0,-80.00000093632514,-180.0,2008.0,129.9048600923375,-79.10365864884545,10501.192114096988,55552.24010488476,-6736.669148083004,8055.577236079323,-54550.67685055424,7.348846492285673,21.477034655506387,-1.9725874015996303,-52.975897152504345,3.1402136865368164,30.80818238849973,58.02654730060915,5.5552240104884765e-05
6,220.0,-80.00000093349536,-180.0,2008.0,129.75752987896655,-79.12671521110103,10376.690136800455,55008.609097210734,-6636.308810206664,7977.161372991351,-54021.02717104298,7.3073186766384035,21.093029815034136,-1.9599819197217403,-52.44453120466557,3.1710819680321647,30.25605379446071,57.39983718034632,5.500860909721074e-05
7,240.0,-80.00000093068266,-180.0,2008.0,129.6107447405793,-79.1496893818889,10254.078902798095,54472.33997885727,-6537.67743562225,7899.677708145102,-53498.501741893706,7.26634980206494,20.71627720738038,-1.9474449376411953,-51.9200722205742,3.2007178317830345,29.715083497223407,56.781980061409406,5.447233997885728e-05
8,260.0,-80.00000092788684,-180.0,2008.0,129.46449587181763,-79.17258046429856,10133.323966720784,53943.303974013776,-6440.7402092270995,7823.114480292557,-52982.976407694696,7.225931539841877,20.34662772002115,-1.934976481749112,-51.40240840913598,3.2291540030404495,29.1850111950328,56.1728214575814,5.394330397401378e-05
9,280.0,-80.00000092510777,-180.0,2008.0,129.318774742624,-79.19538778428938,10014.391618154033,53421.37507620989,-6345.463138600436,7747.460037871565,-52474.329681772455,7.186055729069764,19.983935449486566,-1.9225765568564295,-50.891430211501756,3.2564223649070785,28.665583500737878,55.572210085960236,5.3421375076209894e-05
10,300.0,-80.00000092234524,-180.0,2008.0,129.173573089314,-79.21811069067003,9897.248863147848,52906.42997779557,-6251.813031013058,7672.702840872745,-51972.44267817613,7.14671437294675,19.628057636648396,-1.9102451472197497,-50.38703024608948,3.2825539806626787,28.156553736593295,54.97999779066396,5.290642997779557e-05
11,320.0,-80.00000091959919,-180.0,2008.0,129.02888290594848,-79.24074855504638,9781.863406292516,52398.34800148928,-6159.757471202767,7598.831462489894,-51477.19904565332,7.107899635109211,19.278854602747472,-1.8979822175241015,-49.88910325525067,3.307579115464531,27.65768173573855,54.396039468545844,5.239834800148928e-05
12,340.0,-80.00000091686948,-180.0,2008.0,128.88469643598881,-79.2633007717408,9668.203633337844,51897.01103392611,-6069.264799883998,7525.834590567092,-50988.48490355211,7.069603836039732,18.936189686204944,-1.8857877138246661,-49.3975460535209,3.3315272574415644,27.168733650121602,53.82019299686099,5.1897011033926114e-05
13,360.0,-80.00000091415592,-180.0,2008.0,128.7410061642308,-79.28576675768461,9556.238594335766,51402.30346113893,-5980.304092963856,7453.701028854872,-50506.188779585646,7.031819449542722,18.599929180250683,-1.873661564449041,-48.91225747740363,3.354427138201284,26.68948176464043,53.25231916283464,5.1402303461138935e-05
14,380.0,-80.00000091145833,-180.0,2008.0,128.5978048090062,-79.30814595228581,9445.93798728647,50914.11210590917,-5892.845141436784,7382.4196980872375,-50030.201549398385,6.994539099288046,18.26994227140036,-1.8616036808617242,-48.43313833663093,3.3763067527674844,26.219704317285945,52.6922815950759,5.091411210590917e-05
15,400.0,-80.00000090877666,-180.0,2008.0,128.45508531464154,-79.33043781727453,9337.27214226923,50432.32616692718,-5806.858431931344,7311.979636890743,-49560.41637787692,6.957755555422246,17.946100978809252,-1.8496139584924505,-47.96009136685304,3.3971933789654796,25.7591853250771,52.139946696788684,5.043232616692719e-05
16,420.0,-80.0000009061107,-180.0,2008.0,128.31284084416615,-79.3526418365278,9230.212006039994,49956.837159701376,-5722.315127884105,7242.3700025360195,-49096.72866214688,6.921461731247479,17.62828009452435,-1.8376922775298405,-47.49302118370589,3.4171135962719648,25.307714415586467,51.59518358072791,4.995683715970138e-05
17,440.0,-80.00000090346035,-180.0,2008.0,128.17106477226093,-79.37475751587544,9124.729127078894,49487.53885916128,-5639.18705131692,7173.580071541792,-48639.035976203675,6.885650679967788,17.316357124654687,-1.8258385036818838,-47.03183423821061,3.4360933041453467,24.865086663862858,51.057864005853894,4.948753885916128e-05
18,460.0,-80.00000090082543,-180.0,2008.0,128.02975067844042,-79.39678438288854,9020.795641071276,49024.32724389782,-5557.446665194583,7105.599240140702,-48187.23801712245,6.8503155915023095,17.010212231475116,-1.8140524889045129,-46.57643877345996,3.4541577398522048,24.43110243456368,50.52786231563753,4.902432724389782e-05
