,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
0,-25.00000216845413,55.0,0.0,2000.0,-24.744880772059947,-57.51376101827312,19610.291058116192,36511.63554677036,17809.68543559034,-8208.44809140882,-30798.3118841951,2.577198819895429,44.43833967291708,1.2313173912078015,103.27658445091863,34.2043542642033,-31.952444875285394,-94.13984272137094,3.6511635546770366e-05
1,-25.00000216674718,55.0,5.0,2000.0,-24.708023550643823,-57.50184162695252,19574.582870873906,36433.24922229403,17782.52298945774,-8182.06396321351,-30728.119928252654,2.571924407410186,44.19036521835153,1.2293330460417773,102.70150527667663,34.023372231941444,-31.775181462321306,-93.61918587619505,3.643324922229403e-05
2,-25.0000021650429,55.0,10.0,2000.0,-24.671323142472822,-57.48994577570657,19538.947509629117,36355.07459435569,17755.377838526645,-8155.797177173959,-30658.130715637646,2.566626802580844,43.94400440776467,1.2273455509522593,102.13010747282283,33.843542831685475,-31.59895955193296,-93.10183019612215,3.635507459435569e-05
3,-25.00000216334132,55.0,15.0,2000.0,-24.6347786195492,-57.4780734647425,19503.3848254223,36277.11100919621,17728.250290899654,-8129.647057020938,-30588.343589103224,2.561306483184063,43.69924518376129,1.2253549550407197,101.56236389298614,33.66485740477634,-31.42377221646204,-92.5877514633309,3.627711100919621e-05
4,-25.000002161642385,55.0,20.0,2000.0,-24.598389060689925,-57.46622469335987,19467.89466994907,36199.35781518232,17701.14065080065,-8103.612931329093,-30518.75789332472,2.5559639204369295,43.456075589299466,1.2233613072213603,100.99824761739502,33.48730736757757,-31.249612581163824,-92.07692566286516,3.619935781518232e-05
5,-25.00000215994615,55.0,25.0,2000.0,-24.562153551469265,-57.45439945996626,19432.476895547286,36121.81436279963,17674.04921861425,-8077.694133475231,-30449.372974900136,2.5505995790853717,43.21448376679635,1.2213646562163798,100.43773195077846,33.310884210738344,-31.076473823740276,-91.56932898072328,3.6121814362799636e-05
6,-25.000002158252542,55.0,30.0,2000.0,-24.526071184161992,-57.44259776209258,19397.13135518402,36044.48000464512,17646.976290924395,-8051.890001596853,-30380.188182350008,2.5452139174910786,42.9744579572418,1.219365050551316,99.88079042028622,33.1355794984654,-30.904349173876376,-91.06493780196529,3.6044480004645124e-05
7,-25.000002156561592,55.0,35.0,2000.0,-24.490141057687136,-57.430819596408185,19361.857902443295,35967.3540954204,17619.922160553044,-8026.199878551341,-30311.20286611782,2.5398073877175382,42.73598649931971,1.217362538550741,99.3273967734324,32.96138486780156,-30.733231912782976,-90.56372870884294,3.59673540954204e-05
8,-25.000002154873314,55.0,40.0,2000.0,-24.454362277552,-57.41906495873557,19326.656391513745,35890.435991924234,17592.887116598158,-8000.6231118753285,-30242.416378569545,2.5343804356145427,42.49905782853798,1.215357168333949,98.77752497605735,32.78829202791414,-30.563115372742665,-90.06567847894608,3.5890435991924235e-05
9,-25.00000215318768,55.0,45.0,2000.0,-24.41873395579693,-57.40733384406512,19291.5266771768,35813.72505304585,17565.871444471486,-7975.1590537446555,-30173.828073993856,2.5289335009017506,42.26366047636528,1.2133489878109307,98.23114921031174,32.61629275938928,-30.39399293666127,-89.5707640833704,3.581372505304585e-05
