,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
10,-25.00000213481809,-55.0,100.0,2008.0,-14.019489239774023,-29.38003779887136,18988.89188694459,21791.62645328714,18423.276981461575,-4600.095690137136,-10690.976025860948,9.148975882624503,-69.92562954605815,14.699536792074042,-28.587533887445495,-79.95398994257722,-33.27731212181241,-68.38590781365141,2.179162645328714e-05
11,-25.000002131511792,-55.0,110.0,2008.0,-13.978422383281224,-29.368865890498757,18918.443792103866,21708.397584619866,18358.207477114844,-4569.872398896704,-10646.455286945808,9.109885871529961,-69.5488174862796,14.66917606049516,-28.471487527892066,-79.46953928284617,-33.02326591954729,-67.97079648758607,2.170839758461987e-05
12,-25.000002128215726,-55.0,120.0,2008.0,-13.937642421176237,-29.357793082184077,18848.31016276381,21625.569645330364,18293.386622614184,-4539.912099072615,-10602.191589161579,9.07108824652288,-69.17435546460852,14.63899662073893,-28.35547402559013,-78.98886832338859,-32.77163521249249,-67.55923400773167,2.1625569645330367e-05
13,-25.00000212492982,-55.0,130.0,2008.0,-13.897146504861375,-29.34681827889732,18778.489577515207,21543.140369804187,18228.813976213594,-4510.211949947272,-10558.182901439039,9.032579997715034,-68.80223002657549,14.60899692034073,-28.23950716282025,-78.51194101588649,-32.52239248736821,-67.15118018051605,2.1543140369804186e-05
14,-25.000002121654063,-55.0,140.0,2008.0,-13.856931822266073,-29.335940399649445,18708.98061839036,21461.10750708107,18164.489082470103,-4480.769147382014,-10514.42721460305,8.994358154063589,-68.4324277094122,14.579175423496759,-28.123600310459928,-78.03872171750213,-32.27551059679148,-66.74659539036499,2.146110750708107e-05
15,-25.00000211838838,-55.0,150.0,2008.0,-13.816995597270731,-29.325158377298294,18639.781870931994,21379.468820738937,18100.411472657117,-4451.580923270701,-10470.922541066924,8.956419782776155,-68.06493504546792,14.549530610867553,-28.007766438563152,-77.56917518567788,-32.030962753693885,-66.34544058956213,2.1379468820738937e-05
16,-25.00000211513273,-55.0,160.0,2008.0,-13.777335089142163,-29.314471158358064,18570.89192425959,21298.222088778995,18036.580665167327,-4422.644545002715,-10427.666914531907,8.918761988726317,-67.69973856550176,14.520060979383816,-27.89201812666872,-77.10326657301304,-31.788722525836143,-65.94767728831985,2.1298222088778996e-05
17,-25.00000211188707,-55.0,170.0,2008.0,-13.737947591978926,-29.303877702810198,18502.309371134284,21217.36510351256,17972.99616590658,-4393.957314935002,-10384.65838969145,8.881381913879292,-67.33682480184801,14.490765042054061,-27.7763675738386,-76.64096142220976,-31.548763830417265,-65.55326754505293,2.121736510351256e-05
18,-25.000002108651373,-55.0,180.0,2008.0,-13.698830434167542,-29.293376983918012,18434.032808021046,21136.895671448747,17909.657468677622,-4365.51656987305,-10341.895041940448,8.844276736727451,-66.97618029146257,14.46164132777437,-27.6608266084386,-76.18222566109043,-31.311060928775834,-65.16217395685109,2.1136895671448747e-05
19,-25.00000210542558,-55.0,190.0,2008.0,-13.659980977848441,-29.282967988043193,18366.06083514939,21056.81161318379,17846.56405555506,-4337.319680560624,-10299.374967089185,8.80744367173588,-66.61779157885182,14.432688381140215,-27.545406697663825,-75.72702559768427,-31.07558842118275,-64.77435965014661,2.105681161318379e-05
